"edu_FM" "labour_FM" "edu_exp" "life_exp" "GNI" "mat_mort_ratio" "adol_birthrate" "rep_parliament"
"Tonga" 0.990939977349943 53.5 14.7 72.8 5069 120 18.1 0
"Belize" 1.00791556728232 49.2 13.6 70 7614 45 71.4 13.3
"Dominican Republic" 1.04708097928437 51.3 13.1 73.5 11883 100 99.6 19.1
"Suriname" 0.94692144373673 40.5 12.7 71.1 15617 130 35.2 11.8
"Maldives" 0.834862385321101 56.2 13 76.8 12328 31 4.2 5.9
"Samoa" 1.07166666666667 23.5 12.9 73.4 5327 58 28.3 6.1
"Botswana" 0.944801026957638 71.9 12.5 64.5 16646 170 44.2 9.5
"Moldova (Republic of)" 0.968944099378882 37.6 11.9 71.6 5223 21 29.3 20.8
"Egypt" 0.724422442244224 23.7 13.5 71.1 10512 45 43 2.2
"Gabon" 1.49307479224377 56.2 12.5 64.4 16367 240 103 16.2
"Indonesia" 0.810975609756098 51.4 13 68.9 9788 190 48.3 17.1
"Paraguay" 0.855813953488372 55.7 11.9 72.9 7643 110 67 16.8
"Philippines" 1.03453689167975 51.1 11.3 68.2 7915 120 46.8 27.1
"El Salvador" 0.844036697247706 47.8 12.3 73 7349 69 76 27.4
"South Africa" 0.957839262187088 44.5 13.6 57.4 12122 140 50.9 40.7
"Viet Nam" 0.834269662921348 73 11.9 75.8 5092 49 29 24.3
"Bolivia (Plurinational State of)" 0.805414551607445 64.2 13.2 68.3 5760 200 71.9 51.8
"Kyrgyzstan" 0.976239669421488 56 12.5 70.6 3044 75 29.3 23.3
"Iraq" 0.553784860557769 14.9 10.1 69.4 14003 67 68.7 26.5
"Guyana" 1.26150627615063 42.6 10.3 66.4 6522 250 88.5 31.3
"Nicaragua" 1.02872062663185 47.4 11.5 74.9 4457 100 100.8 39.1
"Morocco" 0.685430463576159 26.5 11.6 74 6850 120 35.8 11
"Namibia" 0.968023255813953 54.7 11.3 64.8 9418 130 54.9 37.7
"Guatemala" 0.943965517241379 49.3 10.7 71.8 6929 140 97.2 13.3
"Tajikistan" 1.04276315789474 58.9 11.2 69.4 2517 44 42.8 15.2
"India" 0.477031802120141 27 11.7 68 5497 190 32.8 12.2
"Honduras" 1.08527131782946 42.8 11.1 73.1 3938 120 84 25.8
"Bhutan" 0.985507246376812 66.7 12.6 69.5 7176 120 40.9 8.3
"Syrian Arab Republic" 0.728395061728395 13.5 12.3 69.6 2728 49 41.6 12.4
"Congo" 0.84468085106383 68.5 11.1 62.3 6012 410 126.7 11.5
"Zambia" 0.586363636363636 73.1 13.5 60.1 3734 280 125.4 12.7
"Ghana" 0.698608964451314 67.3 11.5 61.4 3852 380 58.4 10.9
"Bangladesh" 0.825665859564165 57.4 10 71.6 3191 170 80.6 20
"Cambodia" 0.432314410480349 78.8 10.9 68.4 2949 170 44.3 19
"Kenya" 0.805732484076433 62.2 11 61.6 2762 400 93.6 20.8
"Nepal" 0.463350785340314 79.9 12.4 69.6 2311 190 73.7 29.5
"Pakistan" 0.418655097613883 24.6 7.8 66.2 4866 170 27.3 19.7
"Myanmar" 1.49673202614379 75.2 8.6 65.9 4608 200 12.1 4.7
"Swaziland" 0.842307692307692 43.9 11.3 49 5542 310 72 14.7
"Tanzania (United Republic of)" 0.589473684210526 88.1 9.2 65 2411 410 122.7 36
"Cameroon" 0.610315186246418 63.8 10.4 55.5 2803 590 115.8 27.1
"Zimbabwe" 0.785483870967742 83.2 10.9 57.5 1615 470 60.3 35.1
"Mauritania" 0.397129186602871 28.7 8.5 63.1 3560 320 73.3 22.2
"Papua New Guinea" 0.524137931034483 70.5 9.9 62.6 2463 220 62.1 2.7
"Yemen" 0.322097378277154 25.4 9.2 63.8 3519 270 47 0.7
"Lesotho" 1.15263157894737 59 11.1 49.8 3306 490 89.4 26.8
"Togo" 0.399503722084367 80.6 12.2 59.7 1228 450 91.5 17.6
"Haiti" 0.636363636363636 60.9 8.7 62.8 1669 380 42 3.5
"Rwanda" 0.909090909090909 86.4 10.3 64.2 1458 320 33.6 57.5
"Uganda" 0.683582089552239 75.8 9.8 58.5 1613 360 126.6 35
"Benin" 0.418518518518519 67.6 11.1 59.6 1767 340 90.2 8.4
"Sudan" 0.664835164835165 31.3 7 63.5 3809 360 84 23.8
"Senegal" 0.467532467532468 66 7.9 66.5 2188 320 94.4 42.7
"Afghanistan" 0.197986577181208 15.8 9.3 60.4 1885 400 86.8 27.6
"Côte d'Ivoire" 0.465116279069767 52.4 8.9 51.5 3171 720 130.3 9.2
"Malawi" 0.513888888888889 84.6 10.8 62.8 747 510 144.8 16.7
"Ethiopia" 0.428571428571429 78.2 8.5 64.1 1428 420 78.4 25.5
"Gambia" 0.552380952380952 72.2 8.8 60.2 1507 430 115.8 9.4
"Congo (Democratic Republic of the)" 0.395061728395062 70.7 9.8 58.7 680 730 135.3 8.2
"Liberia" 0.391857506361323 58.2 9.5 60.9 805 640 117.4 10.7
"Mali" 0.509933774834437 50.8 8.4 58 1583 550 175.6 9.5
"Mozambique" 0.225806451612903 85.5 9.3 55.1 1123 480 137.8 39.6
"Sierra Leone" 0.460829493087558 65.7 8.6 50.9 1780 1100 100.7 12.4
"Burkina Faso" 0.28125 77.1 7.8 58.7 1591 400 115.4 13.3
"Burundi" 0.63855421686747 83.3 10.1 56.7 758 740 30.3 34.9
"Chad" 0.171717171717172 64 7.4 51.6 2085 980 152 14.9
"Central African Republic" 0.378277153558052 72.6 7.2 50.7 581 880 98.3 12.5
"Niger" 0.307692307692308 40 5.4 61.4 908 630 204.8 13.3
